task_id,title,description,priority,status,assignee,project,created_date,due_date,completed_date,tags,estimated_hours,actual_hours,dependencies,progress_percent,comments_count,last_updated
TASK-0024,Data ingestion from 3rd-party,Model training and evaluation,High,Review,Harish,Analytics,2025-08-14,2025-09-08,,"research,ux,frontend",40,,,82,4,2025-09-01
TASK-0025,Implement auth API,Model training and evaluation,Critical,Todo,Harish,Notifications,2025-08-14,2025-08-30,,data,16,,,0,7,2025-08-29
TASK-0026,Implement auth API,DevOps tasks for deployment,Low,Todo,Bhanu,Dashboard,2025-09-02,2025-10-05,,ml,4,,,0,15,2025-10-13
TASK-0027,Optimize DB queries,Model training and evaluation,Medium,Review,Bhanu,Ops,2025-09-15,2025-10-22,,"backend,ml,performance",8,,,82,5,2025-10-14
TASK-0028,Implement caching layer,Model training and evaluation,High,Todo,Jaya,Ops,2025-10-01,2025-10-25,,"api,data",40,,,0,8,2025-10-04
TASK-0029,Create onboarding emails,Backend APIs and integration,Medium,Review,Esha,Scheduler,2025-10-13,2025-11-06,,"ux,devops",8,,,83,10,2025-10-13
TASK-0030,Evaluate model accuracy,Backend APIs and integration,Low,Todo,Faisal,Payments,2025-10-14,2025-11-02,,"devops,api",16,,,0,0,2025-10-15
TASK-0031,Investigate latency issue,Testing and QA tasks,Medium,Todo,Bhanu,ML-Pipeline,2025-09-05,2025-09-18,,"data,research",4,,,0,7,2025-09-19
TASK-0032,Build notification service,Documentation and handover,Low,Review,Jaya,Analytics,2025-08-22,2025-09-29,,"data,devops",8,,,86,11,2025-08-26
TASK-0033,Optimize image processing,Customer-facing improvements,Low,Done,Irfan,Payments,2025-08-02,2025-09-08,2025-08-11,bug,40,41,,100,14,2025-08-09
TASK-0034,Improve logging & monitoring,Frontend design and interaction,Medium,In Progress,Aisha,Platform,2025-08-16,2025-09-07,,"backend,performance,research",4,,,79,13,2025-09-07
TASK-0035,Migrate DB schema,Backend APIs and integration,Medium,Todo,Bhanu,ML-Pipeline,2025-10-10,2025-10-31,,"ml,ux",24,,,0,12,2025-10-10
TASK-0036,Add feature flags,DevOps tasks for deployment,Low,Done,Bhanu,Scheduler,2025-08-07,2025-09-04,2025-09-09,devops,4,5,,100,13,2025-10-14
TASK-0037,Evaluate model accuracy,Data pipeline and ETL,Low,In Progress,Esha,Payments,2025-09-30,2025-10-05,,"performance,backend,devops",8,,TASK-3,62,7,2025-10-01
TASK-0038,Evaluate model accuracy,Documentation and handover,Low,Todo,Aisha,Scheduler,2025-08-11,2025-09-01,,ux,16,,,0,4,2025-09-08
TASK-0039,Deploy model to staging,Model training and evaluation,Low,In Progress,Jaya,Scheduler,2025-07-26,2025-08-25,,"api,backend,bug",24,,,45,13,2025-08-14
TASK-0040,Data ingestion from 3rd-party,Performance improvements and profiling,Low,In Progress,Deepak,Payments,2025-09-06,2025-09-18,,"backend,data",24,,,76,12,2025-09-21
TASK-0041,Set up CI/CD pipeline,Data pipeline and ETL,Medium,Todo,Harish,Analytics,2025-10-03,2025-11-09,,"devops,backend,research",24,,,0,6,2025-10-10
TASK-0042,Optimize DB queries,Testing and QA tasks,Medium,Done,Deepak,Payments,2025-09-29,2025-11-01,2025-10-14,"ux,devops,performance",8,9,,100,11,2025-10-08
TASK-0043,Set up CI/CD pipeline,Testing and QA tasks,Medium,In Progress,Bhanu,ML-Pipeline,2025-09-04,2025-09-20,,"bug,performance",4,,,33,0,2025-09-20
TASK-0044,Prototype new UI,Customer-facing improvements,Medium,In Progress,Chitra,Payments,2025-09-02,2025-09-19,,"ux,devops",24,,,48,15,2025-10-01
TASK-0045,Create dashboard widgets,Testing and QA tasks,Low,Review,Harish,Scheduler,2025-08-06,2025-09-19,,data,4,,,91,0,2025-09-27
TASK-0046,Build notification service,Data pipeline and ETL,Low,Todo,Deepak,Platform,2025-08-17,2025-09-12,,ux,40,,,0,13,2025-08-17
TASK-0047,Design user onboarding flow,DevOps tasks for deployment,High,In Progress,Esha,Onboarding,2025-08-11,2025-09-10,,frontend,4,,,35,8,2025-09-25
TASK-0048,Set up CI/CD pipeline,Performance improvements and profiling,Low,Done,Harish,Ops,2025-09-13,2025-09-30,2025-09-22,"frontend,backend,ux",24,23,,100,5,2025-09-18
TASK-0049,Write API documentation,Performance improvements and profiling,Medium,In Progress,Bhanu,Platform,2025-10-09,2025-10-26,,ux,24,,,14,1,2025-10-10
TASK-0050,Optimize image processing,Testing and QA tasks,Low,Todo,Chitra,Dashboard,2025-10-05,2025-10-27,,ux,8,,,0,10,2025-10-11
TASK-0051,Conduct A/B test,Frontend design and interaction,High,Review,Bhanu,Platform,2025-08-31,2025-09-06,,performance,8,,,89,12,2025-09-20
TASK-0052,Design user onboarding flow,Model training and evaluation,High,In Progress,Deepak,Analytics,2025-08-05,2025-09-01,,"ml,performance",4,,,42,2,2025-08-15
TASK-0053,Set up CI/CD pipeline,Frontend design and interaction,Medium,Blocked,Chitra,Dashboard,2025-09-04,2025-09-30,,frontend,4,,,17,3,2025-09-12
TASK-0054,Create task scheduler,Frontend design and interaction,Medium,In Progress,Irfan,Dashboard,2025-10-01,2025-10-05,,bug,40,,TASK-39,46,9,2025-10-07
TASK-0055,Evaluate model accuracy,Backend APIs and integration,High,In Progress,Deepak,Ops,2025-08-09,2025-08-22,,"performance,ml,data",16,,,68,5,2025-10-03
TASK-0056,Set up CI/CD pipeline,Performance improvements and profiling,Low,Blocked,Faisal,Notifications,2025-09-13,2025-10-26,,"ux,devops",24,,TASK-20,21,12,2025-10-04
TASK-0057,Improve logging & monitoring,Testing and QA tasks,Medium,Done,Jaya,Scheduler,2025-09-06,2025-09-29,2025-09-25,"devops,api,bug",8,12,,100,15,2025-10-12
TASK-0058,Create onboarding emails,Data pipeline and ETL,Medium,In Progress,Gayathri,Analytics,2025-09-30,2025-11-08,,ux,40,,TASK-50,75,6,2025-10-14
TASK-0059,Create onboarding emails,Model training and evaluation,High,Todo,Gayathri,ML-Pipeline,2025-09-27,2025-11-09,,"devops,research",8,,,0,15,2025-10-15
TASK-0060,Evaluate model accuracy,DevOps tasks for deployment,Medium,Done,Gayathri,Platform,2025-10-10,2025-11-05,2025-10-15,devops,16,12,,100,10,2025-10-13
TASK-0061,Integrate payment gateway,Detailed work on feature as per spec,Low,Todo,Irfan,Platform,2025-08-01,2025-09-09,,api,16,,,0,4,2025-09-14
TASK-0062,Design user onboarding flow,Documentation and handover,Low,In Progress,Bhanu,AuthService,2025-09-26,2025-10-21,,"bug,api",8,,,49,14,2025-10-10
TASK-0063,Train intent classifier,Backend APIs and integration,Medium,Done,Bhanu,Onboarding,2025-09-01,2025-10-15,2025-09-07,"ml,devops,ux",40,30,,100,5,2025-09-12
TASK-0064,Investigate latency issue,Performance improvements and profiling,Medium,Review,Deepak,ML-Pipeline,2025-07-31,2025-08-30,,"backend,devops",8,,,88,5,2025-09-15
TASK-0065,Train intent classifier,Data pipeline and ETL,Medium,In Progress,Harish,Platform,2025-07-25,2025-08-17,,"performance,ux,frontend",16,,,63,9,2025-10-11
TASK-0066,Refactor legacy code,Backend APIs and integration,Medium,In Progress,Deepak,Notifications,2025-09-30,2025-10-14,,"ml,data",24,,,22,13,2025-10-05
TASK-0067,Write API documentation,DevOps tasks for deployment,Medium,Review,Chitra,Platform,2025-09-23,2025-10-27,,"ml,ux",16,,,81,15,2025-09-27
TASK-0068,Optimize DB queries,Performance improvements and profiling,Critical,In Progress,Harish,Dashboard,2025-07-19,2025-08-22,,"api,ux",8,,TASK-4,33,8,2025-08-16
TASK-0069,Prototype new UI,Model training and evaluation,Low,In Progress,Harish,Platform,2025-08-10,2025-08-20,,"frontend,research,bug",40,,,10,6,2025-10-03
TASK-0070,Integrate payment gateway,Data pipeline and ETL,Low,Done,Harish,Notifications,2025-08-31,2025-09-08,2025-09-07,devops,8,11,,100,13,2025-09-10
TASK-0071,Fix production bug - payment,Frontend design and interaction,High,Done,Aisha,Ops,2025-08-31,2025-10-07,2025-09-17,"data,ml,bug",16,14,,100,4,2025-09-26
TASK-0072,Optimize image processing,Detailed work on feature as per spec,Critical,Done,Chitra,Scheduler,2025-09-13,2025-09-25,2025-09-23,performance,24,17,,100,2,2025-09-18
TASK-0073,Evaluate model accuracy,DevOps tasks for deployment,High,Review,Faisal,ML-Pipeline,2025-08-13,2025-09-05,,"backend,frontend,api",16,,,82,13,2025-09-09
TASK-0074,Write API documentation,Model training and evaluation,Medium,In Progress,Irfan,Ops,2025-09-28,2025-11-06,,"bug,backend",4,,TASK-59,7,14,2025-10-12
TASK-0075,Design user onboarding flow,Performance improvements and profiling,Low,Review,Chitra,Notifications,2025-09-24,2025-10-14,,bug,16,,TASK-22,82,9,2025-10-01
TASK-0076,Deploy model to staging,Backend APIs and integration,High,Todo,Harish,AuthService,2025-09-28,2025-11-07,,data,24,,TASK-44,0,15,2025-09-30
TASK-0077,Write unit tests for scheduler,Performance improvements and profiling,Low,Done,Bhanu,Analytics,2025-08-28,2025-09-19,2025-09-01,"ml,ux",4,4,TASK-22,100,4,2025-09-23
TASK-0078,Fix production bug - payment,Documentation and handover,High,Todo,Bhanu,Scheduler,2025-09-29,2025-11-08,,"performance,bug,ux",16,,,0,7,2025-10-08
TASK-0079,Conduct A/B test,Detailed work on feature as per spec,High,Review,Esha,Payments,2025-08-09,2025-09-19,,"devops,performance,research",4,,,85,3,2025-09-08
TASK-0080,Write API documentation,Customer-facing improvements,Low,Done,Aisha,Analytics,2025-09-04,2025-09-15,2025-09-16,"performance,bug,ml",24,37,,100,0,2025-09-20
TASK-0081,Optimize DB queries,Detailed work on feature as per spec,Critical,Done,Gayathri,Platform,2025-09-08,2025-10-21,2025-10-23,"performance,ux,data",4,4,,100,9,2025-09-13
TASK-0082,User research interviews,Data pipeline and ETL,Critical,Todo,Faisal,Dashboard,2025-07-31,2025-09-12,,"frontend,research,performance",8,,TASK-12,0,1,2025-09-08
TASK-0083,Add feature flags,Frontend design and interaction,Low,Review,Aisha,Scheduler,2025-08-12,2025-09-06,,"data,research,ml",16,,TASK-35,94,10,2025-10-05
TASK-0084,Set up CI/CD pipeline,DevOps tasks for deployment,Low,Review,Jaya,AuthService,2025-08-12,2025-09-13,,"bug,backend,api",40,,TASK-21,94,3,2025-09-10
TASK-0085,Implement caching layer,DevOps tasks for deployment,Low,Done,Aisha,Payments,2025-10-09,2025-11-11,2025-11-01,"ml,ux",4,4,,100,7,2025-10-12
TASK-0086,Optimize image processing,Testing and QA tasks,Low,Todo,Faisal,AuthService,2025-08-11,2025-08-17,,devops,40,,,0,9,2025-09-19
TASK-0087,Train intent classifier,Backend APIs and integration,Medium,Todo,Deepak,Notifications,2025-08-03,2025-08-25,,"ux,devops,api",16,,,0,7,2025-08-22
TASK-0088,Design user onboarding flow,Performance improvements and profiling,Low,In Progress,Aisha,Analytics,2025-10-14,2025-11-28,,"research,frontend",8,,,35,1,2025-10-14
TASK-0089,Migrate DB schema,Model training and evaluation,Low,Done,Irfan,Dashboard,2025-07-17,2025-08-12,2025-08-15,"frontend,ux,ml",24,16,,100,7,2025-08-23
TASK-0090,Set up CI/CD pipeline,Testing and QA tasks,Critical,In Progress,Faisal,Analytics,2025-08-18,2025-09-07,,frontend,8,,TASK-75,18,5,2025-09-15
TASK-0091,Improve logging & monitoring,Testing and QA tasks,Medium,In Progress,Deepak,ML-Pipeline,2025-09-05,2025-10-07,,"frontend,ux",8,,,43,1,2025-09-18
TASK-0092,Setup feature rollout,Testing and QA tasks,Low,Review,Faisal,Dashboard,2025-08-10,2025-08-16,,"research,ux,ml",4,,,87,7,2025-08-22
TASK-0093,Improve logging & monitoring,Backend APIs and integration,High,Todo,Aisha,Onboarding,2025-09-16,2025-09-27,,performance,16,,,0,8,2025-10-15
TASK-0094,Setup feature rollout,Backend APIs and integration,Low,Todo,Harish,Scheduler,2025-10-03,2025-10-27,,backend,24,,TASK-74,0,15,2025-10-03
TASK-0095,Evaluate model accuracy,Performance improvements and profiling,Low,Todo,Chitra,Notifications,2025-09-09,2025-10-10,,backend,40,,,0,15,2025-10-05
TASK-0096,Implement role based access,DevOps tasks for deployment,Medium,Todo,Gayathri,Scheduler,2025-08-22,2025-09-06,,"data,devops,backend",24,,,0,15,2025-09-13
TASK-0097,Optimize image processing,Customer-facing improvements,Medium,In Progress,Chitra,Onboarding,2025-09-04,2025-10-15,,backend,16,,TASK-61,72,7,2025-09-14
TASK-0098,Integrate payment gateway,Data pipeline and ETL,Medium,In Progress,Aisha,Payments,2025-08-02,2025-08-29,,"ml,ux",8,,,50,11,2025-10-13
TASK-0099,Refactor legacy code,Frontend design and interaction,Medium,Todo,Harish,Platform,2025-09-05,2025-09-19,,"backend,frontend",4,,,0,15,2025-09-05
TASK-0100,Train intent classifier,Customer-facing improvements,Low,Todo,Chitra,Analytics,2025-10-07,2025-10-11,,ux,8,,,0,11,2025-10-13
TASK-0101,Refactor legacy code,Backend APIs and integration,Medium,In Progress,Chitra,Dashboard,2025-07-25,2025-08-28,,"bug,ml,ux",8,,,27,9,2025-08-10
TASK-0102,Create dashboard widgets,Detailed work on feature as per spec,Critical,Done,Gayathri,Ops,2025-10-10,2025-10-24,2025-10-29,"ux,devops",40,28,,100,7,2025-10-12
TASK-0103,Train intent classifier,Frontend design and interaction,Medium,Done,Faisal,ML-Pipeline,2025-10-13,2025-11-01,2025-10-19,frontend,16,13,TASK-1,100,13,2025-10-13
TASK-0104,Implement role based access,Performance improvements and profiling,Medium,In Progress,Irfan,Dashboard,2025-10-02,2025-11-04,,"devops,ml,api",4,,,9,10,2025-10-06
TASK-0105,Integrate payment gateway,Backend APIs and integration,Medium,Done,Chitra,AuthService,2025-08-05,2025-08-13,2025-08-10,"ux,api,backend",24,37,TASK-56,100,10,2025-08-31
TASK-0106,Optimize DB queries,Performance improvements and profiling,Medium,Review,Irfan,Notifications,2025-07-22,2025-08-12,,"devops,frontend",4,,,85,1,2025-09-06
TASK-0107,Design user onboarding flow,Performance improvements and profiling,Low,Done,Jaya,ML-Pipeline,2025-09-19,2025-09-28,2025-09-19,ml,16,25,,100,15,2025-10-04
TASK-0108,Implement role based access,Model training and evaluation,Low,In Progress,Chitra,Analytics,2025-08-27,2025-09-22,,api,4,,,64,8,2025-10-02
TASK-0109,Implement auth API,Frontend design and interaction,High,Review,Bhanu,Analytics,2025-08-06,2025-09-04,,"devops,data,backend",24,,,87,7,2025-10-05
TASK-0110,Data ingestion from 3rd-party,Backend APIs and integration,Medium,Done,Aisha,Platform,2025-08-02,2025-09-07,2025-09-07,"ux,ml,frontend",24,18,,100,4,2025-08-07
TASK-0111,Deploy model to staging,Backend APIs and integration,Critical,In Progress,Chitra,Ops,2025-09-11,2025-10-04,,"frontend,ux,performance",40,,,46,14,2025-09-11
TASK-0112,Create onboarding emails,Customer-facing improvements,Medium,Blocked,Bhanu,Dashboard,2025-09-25,2025-10-07,,"ux,frontend,data",40,,,22,13,2025-10-03
TASK-0113,Evaluate model accuracy,Documentation and handover,Medium,In Progress,Chitra,Notifications,2025-08-24,2025-09-05,,"ux,performance,backend",24,,,47,1,2025-10-10
TASK-0114,Write API documentation,Model training and evaluation,High,Todo,Esha,Notifications,2025-09-09,2025-10-13,,"frontend,devops,ml",16,,,0,8,2025-10-05
TASK-0115,Fix production bug - payment,Backend APIs and integration,Low,Todo,Gayathri,ML-Pipeline,2025-08-09,2025-09-04,,data,8,,TASK-91,0,0,2025-08-31
TASK-0116,Optimize DB queries,Data pipeline and ETL,High,Todo,Harish,Onboarding,2025-08-29,2025-09-13,,"bug,api",40,,,0,7,2025-09-21
TASK-0117,Write API documentation,Customer-facing improvements,Medium,Done,Harish,Ops,2025-08-05,2025-08-30,2025-08-16,research,4,3,,100,7,2025-09-02
TASK-0118,Add feature flags,Data pipeline and ETL,Low,In Progress,Aisha,Onboarding,2025-08-15,2025-08-26,,"ml,backend,devops",16,,,44,13,2025-10-11
TASK-0119,Evaluate model accuracy,Testing and QA tasks,Medium,Todo,Esha,Platform,2025-07-27,2025-08-24,,"frontend,backend,bug",40,,,0,15,2025-08-04
TASK-0120,Train intent classifier,Model training and evaluation,Medium,Done,Esha,Notifications,2025-09-20,2025-10-02,2025-10-06,backend,40,40,,100,15,2025-09-29
TASK-0121,Set up CI/CD pipeline,Performance improvements and profiling,Medium,Review,Jaya,Ops,2025-09-20,2025-10-14,,"devops,data,api",16,,,91,5,2025-09-29
TASK-0122,Integrate payment gateway,Documentation and handover,Low,In Progress,Irfan,Scheduler,2025-07-19,2025-08-12,,"frontend,devops,bug",8,,,44,11,2025-08-21
TASK-0123,Refactor legacy code,Model training and evaluation,Medium,Todo,Aisha,Ops,2025-08-01,2025-09-12,,api,8,,,0,13,2025-08-07
TASK-0124,Create data backup job,Frontend design and interaction,Low,Todo,Gayathri,Ops,2025-08-17,2025-08-29,,"ml,frontend",24,,,0,1,2025-08-17
TASK-0125,Improve logging & monitoring,Model training and evaluation,Low,Blocked,Jaya,Scheduler,2025-08-13,2025-08-21,,ux,24,,,30,12,2025-08-13
TASK-0126,Implement auth API,DevOps tasks for deployment,Low,In Progress,Aisha,Analytics,2025-08-08,2025-08-23,,backend,8,,,49,3,2025-09-26
TASK-0127,User research interviews,Customer-facing improvements,Medium,Todo,Aisha,Notifications,2025-09-07,2025-10-09,,"data,ux,bug",24,,,0,11,2025-09-19
TASK-0128,Create dashboard widgets,Performance improvements and profiling,Low,Todo,Chitra,Payments,2025-10-12,2025-11-21,,"ml,frontend,bug",4,,,0,1,2025-10-12
TASK-0129,Add feature flags,Backend APIs and integration,Medium,Todo,Bhanu,Dashboard,2025-08-19,2025-09-15,,data,16,,,0,0,2025-09-07
TASK-0130,Deploy model to staging,Backend APIs and integration,Medium,In Progress,Jaya,Scheduler,2025-08-22,2025-08-31,,"ux,frontend,research",4,,,68,6,2025-10-10
TASK-0131,Set up CI/CD pipeline,DevOps tasks for deployment,Critical,In Progress,Gayathri,Notifications,2025-09-24,2025-09-29,,"api,devops,ux",16,,,6,3,2025-10-12
TASK-0132,Add feature flags,Documentation and handover,Low,Todo,Irfan,AuthService,2025-10-02,2025-10-21,,"devops,api,research",16,,,0,9,2025-10-07
TASK-0133,Create onboarding emails,Testing and QA tasks,Medium,Todo,Aisha,Onboarding,2025-09-27,2025-11-11,,"ml,bug,data",24,,,0,11,2025-10-07
TASK-0134,Create dashboard widgets,Backend APIs and integration,Medium,Done,Esha,Dashboard,2025-07-18,2025-08-20,2025-08-13,"ml,frontend,ux",4,6,,100,15,2025-09-28
TASK-0135,Add feature flags,Documentation and handover,Low,In Progress,Faisal,Ops,2025-10-11,2025-10-22,,"api,frontend",24,,,13,0,2025-10-15
TASK-0136,Conduct A/B test,Customer-facing improvements,High,Todo,Faisal,Platform,2025-08-09,2025-09-20,,performance,8,,,0,1,2025-08-10
TASK-0137,Investigate latency issue,Frontend design and interaction,Medium,In Progress,Harish,Scheduler,2025-10-05,2025-11-08,,"devops,bug",16,,TASK-58,75,12,2025-10-08
TASK-0138,Create task scheduler,Documentation and handover,Medium,In Progress,Bhanu,ML-Pipeline,2025-08-18,2025-09-10,,api,4,,TASK-106,9,0,2025-10-09
TASK-0139,Create task scheduler,Customer-facing improvements,Critical,Review,Irfan,Platform,2025-09-18,2025-11-01,,"api,bug,data",4,,,80,15,2025-10-10
TASK-0140,Add feature flags,Testing and QA tasks,High,Todo,Deepak,Onboarding,2025-09-01,2025-09-26,,"research,data,bug",4,,TASK-43,0,3,2025-09-17
TASK-0141,Fix production bug - payment,Data pipeline and ETL,Low,Done,Gayathri,Payments,2025-08-17,2025-09-01,2025-08-27,performance,4,6,,100,14,2025-09-28
TASK-0142,Refactor legacy code,DevOps tasks for deployment,Low,In Progress,Irfan,Onboarding,2025-08-05,2025-09-04,,"api,data,ml",40,,TASK-33,18,10,2025-10-08
TASK-0143,Implement role based access,Performance improvements and profiling,Medium,Review,Deepak,Notifications,2025-08-25,2025-09-18,,"api,ml",8,,,79,10,2025-10-09
TASK-0144,Implement caching layer,DevOps tasks for deployment,Medium,Todo,Jaya,Notifications,2025-07-19,2025-08-13,,"ml,ux,bug",4,,,0,13,2025-10-13
TASK-0145,Implement caching layer,DevOps tasks for deployment,Low,Done,Aisha,Platform,2025-10-01,2025-10-05,2025-10-07,backend,4,3,,100,4,2025-10-14
TASK-0146,Implement auth API,Model training and evaluation,Low,In Progress,Faisal,ML-Pipeline,2025-10-01,2025-11-12,,"data,devops,performance",8,,,41,12,2025-10-07
TASK-0147,Deploy model to staging,Testing and QA tasks,Critical,Todo,Esha,Payments,2025-07-27,2025-08-27,,bug,40,,,0,9,2025-09-22
TASK-0148,Create dashboard widgets,Backend APIs and integration,Low,Todo,Irfan,AuthService,2025-08-27,2025-09-01,,"research,data",16,,TASK-66,0,4,2025-08-29
TASK-0149,Build notification service,Testing and QA tasks,Medium,Blocked,Jaya,Notifications,2025-08-13,2025-09-21,,"bug,frontend,ux",40,,,4,5,2025-10-05
TASK-0150,Prototype new UI,DevOps tasks for deployment,Medium,In Progress,Deepak,Analytics,2025-09-02,2025-09-28,,"devops,data",24,,,6,14,2025-09-17
TASK-0151,Implement role based access,Customer-facing improvements,Critical,Todo,Aisha,Analytics,2025-08-27,2025-09-06,,"research,data",16,,TASK-133,0,14,2025-09-27
TASK-0152,Implement auth API,Model training and evaluation,High,Todo,Irfan,AuthService,2025-10-02,2025-10-15,,"data,backend,frontend",8,,,0,3,2025-10-05
TASK-0153,Prototype new UI,Performance improvements and profiling,Medium,Done,Chitra,Onboarding,2025-08-17,2025-09-10,2025-08-18,frontend,4,3,,100,8,2025-09-12
TASK-0154,Evaluate model accuracy,Documentation and handover,Medium,In Progress,Aisha,Dashboard,2025-07-20,2025-07-30,,"backend,frontend,ux",4,,,69,9,2025-10-05
TASK-0155,Create task scheduler,Model training and evaluation,High,In Progress,Gayathri,Onboarding,2025-08-15,2025-08-28,,"devops,ml,performance",40,,,23,0,2025-09-19
TASK-0156,Create data backup job,DevOps tasks for deployment,Low,Todo,Jaya,Ops,2025-08-25,2025-10-01,,"frontend,research,devops",16,,,0,5,2025-09-08
TASK-0157,Fix production bug - payment,Model training and evaluation,Low,Todo,Jaya,Onboarding,2025-08-05,2025-09-06,,"data,frontend,research",4,,,0,15,2025-09-16
TASK-0158,Annotate training data,Frontend design and interaction,Medium,Todo,Esha,Ops,2025-10-06,2025-10-21,,"api,ux",16,,,0,4,2025-10-15
TASK-0159,Refactor legacy code,Testing and QA tasks,High,Done,Chitra,Onboarding,2025-09-04,2025-09-22,2025-09-11,"performance,research,bug",8,10,,100,11,2025-09-23
TASK-0160,Write API documentation,DevOps tasks for deployment,Low,Review,Bhanu,Notifications,2025-09-27,2025-11-03,,research,4,,,86,0,2025-10-15
TASK-0161,Refactor legacy code,Performance improvements and profiling,High,Todo,Aisha,Platform,2025-09-11,2025-10-18,,"api,ml,bug",24,,,0,4,2025-10-10
TASK-0162,User research interviews,DevOps tasks for deployment,Low,In Progress,Aisha,Payments,2025-07-28,2025-08-10,,"ml,api,ux",8,,,77,15,2025-09-11
TASK-0163,Implement auth API,Data pipeline and ETL,High,Todo,Esha,Analytics,2025-09-15,2025-09-20,,"devops,data,bug",24,,,0,10,2025-09-18
TASK-0164,Migrate DB schema,DevOps tasks for deployment,Medium,In Progress,Esha,Ops,2025-08-06,2025-09-14,,performance,24,,,14,12,2025-09-03
TASK-0165,User research interviews,Performance improvements and profiling,Medium,Done,Harish,ML-Pipeline,2025-07-29,2025-08-01,2025-08-06,api,8,6,,100,5,2025-08-18
TASK-0166,Annotate training data,Customer-facing improvements,High,Todo,Deepak,Dashboard,2025-09-02,2025-09-12,,"api,ux",8,,,0,1,2025-09-10
TASK-0167,Refactor legacy code,Customer-facing improvements,Low,Review,Aisha,Ops,2025-09-26,2025-10-02,,research,8,,,89,0,2025-10-05
