task_id,title,description,priority,status,assignee,project,created_date,due_date,completed_date,tags,estimated_hours,actual_hours,dependencies,progress_percent,comments_count,last_updated,text,clean_text,deadline,days_left,workload_hours,priority_encoded
TASK-0020,Implement role based access,DevOps tasks for deployment,Low,Done,Faisal,Scheduler,25-08-2025,06-10-2025,11-10-2025,"ux,bug",40,57.0,,100,0,17-09-2025,Implement role based access DevOps tasks for deployment,implement role based access devops task deployment,2025-11-09 23:47:31.673910,11,1,2
TASK-0021,Train intent classifier,Backend APIs and integration,Critical,In Progress,Aisha,Ops,15-08-2025,03-09-2025,,"ux,devops,backend",40,,,72,12,24-08-2025,Train intent classifier Backend APIs and integration,train intent classifier backend apis integration,2025-11-08 23:47:31.673910,10,4,0
TASK-0022,Setup feature rollout,Data pipeline and ETL,Low,Done,Bhanu,Payments,12-10-2025,12-11-2025,01-11-2025,"ml,performance",8,8.0,,100,4,13-10-2025,Setup feature rollout Data pipeline and ETL,setup feature rollout data pipeline etl,2025-11-08 23:47:31.673910,10,8,2
TASK-0023,Prototype new UI,Testing and QA tasks,Critical,In Progress,Gayathri,Analytics,22-09-2025,24-10-2025,,"bug,data,ux",16,,,29,9,29-09-2025,Prototype new UI Testing and QA tasks,prototype new ui testing qa task,2025-11-10 23:47:31.673910,12,6,0
TASK-0024,Data ingestion from 3rd-party,Model training and evaluation,High,Review,Harish,Analytics,14-08-2025,08-09-2025,,"research,ux,frontend",40,,,82,4,01-09-2025,Data ingestion from 3rd-party Model training and evaluation,data ingestion rd party model training evaluation,2025-11-08 23:47:31.673910,10,3,1
TASK-0025,Implement auth API,Model training and evaluation,Critical,Todo,Harish,Notifications,14-08-2025,30-08-2025,,data,16,,,0,7,29-08-2025,Implement auth API Model training and evaluation,implement auth api model training evaluation,2025-11-05 23:47:31.673910,7,2,0
TASK-0026,Implement auth API,DevOps tasks for deployment,Low,Todo,Bhanu,Dashboard,02-09-2025,05-10-2025,,ml,4,,,0,15,13-10-2025,Implement auth API DevOps tasks for deployment,implement auth api devops task deployment,2025-10-31 23:47:31.673910,2,5,2
TASK-0027,Optimize DB queries,Model training and evaluation,Medium,Review,Bhanu,Ops,15-09-2025,22-10-2025,,"backend,ml,performance",8,,,82,5,14-10-2025,Optimize DB queries Model training and evaluation,optimize db query model training evaluation,2025-11-05 23:47:31.673910,7,4,3
TASK-0028,Implement caching layer,Model training and evaluation,High,Todo,Jaya,Ops,01-10-2025,25-10-2025,,"api,data",40,,,0,8,04-10-2025,Implement caching layer Model training and evaluation,implement caching layer model training evaluation,2025-11-11 23:47:31.673910,13,5,1
TASK-0029,Create onboarding emails,Backend APIs and integration,Medium,Review,Esha,Scheduler,13-10-2025,06-11-2025,,"ux,devops",8,,,83,10,13-10-2025,Create onboarding emails Backend APIs and integration,create onboarding email backend apis integration,2025-11-07 23:47:31.673910,9,5,3
TASK-0030,Evaluate model accuracy,Backend APIs and integration,Low,Todo,Faisal,Payments,14-10-2025,02-11-2025,,"devops,api",16,,,0,0,15-10-2025,Evaluate model accuracy Backend APIs and integration,evaluate model accuracy backend apis integration,2025-11-11 23:47:31.673910,13,6,2
TASK-0031,Investigate latency issue,Testing and QA tasks,Medium,Todo,Bhanu,ML-Pipeline,05-09-2025,18-09-2025,,"data,research",4,,,0,7,19-09-2025,Investigate latency issue Testing and QA tasks,investigate latency issue testing qa task,2025-11-02 23:47:31.673910,4,8,3
TASK-0032,Build notification service,Documentation and handover,Low,Review,Jaya,Analytics,22-08-2025,29-09-2025,,"data,devops",8,,,86,11,26-08-2025,Build notification service Documentation and handover,build notification service documentation handover,2025-11-06 23:47:31.673910,8,6,2
TASK-0033,Optimize image processing,Customer-facing improvements,Low,Done,Irfan,Payments,02-08-2025,08-09-2025,11-08-2025,bug,40,41.0,,100,14,09-08-2025,Optimize image processing Customer-facing improvements,optimize image processing customer facing improvement,2025-11-11 23:47:31.673910,13,2,2
TASK-0034,Improve logging & monitoring,Frontend design and interaction,Medium,In Progress,Aisha,Platform,16-08-2025,07-09-2025,,"backend,performance,research",4,,,79,13,07-09-2025,Improve logging & monitoring Frontend design and interaction,improve logging monitoring frontend design interaction,2025-10-31 23:47:31.673910,2,6,3
TASK-0035,Migrate DB schema,Backend APIs and integration,Medium,Todo,Bhanu,ML-Pipeline,10-10-2025,31-10-2025,,"ml,ux",24,,,0,12,10-10-2025,Migrate DB schema Backend APIs and integration,migrate db schema backend apis integration,2025-11-04 23:47:31.673910,6,2,3
TASK-0036,Add feature flags,DevOps tasks for deployment,Low,Done,Bhanu,Scheduler,07-08-2025,04-09-2025,09-09-2025,devops,4,5.0,,100,13,14-10-2025,Add feature flags DevOps tasks for deployment,add feature flag devops task deployment,2025-11-01 23:47:31.673910,3,1,2
TASK-0037,Evaluate model accuracy,Data pipeline and ETL,Low,In Progress,Esha,Payments,30-09-2025,05-10-2025,,"performance,backend,devops",8,,TASK-3,62,7,01-10-2025,Evaluate model accuracy Data pipeline and ETL,evaluate model accuracy data pipeline etl,2025-11-03 23:47:31.673910,5,7,2
TASK-0038,Evaluate model accuracy,Documentation and handover,Low,Todo,Aisha,Scheduler,11-08-2025,01-09-2025,,ux,16,,,0,4,08-09-2025,Evaluate model accuracy Documentation and handover,evaluate model accuracy documentation handover,2025-10-30 23:47:31.673910,1,1,2
TASK-0039,Deploy model to staging,Model training and evaluation,Low,In Progress,Jaya,Scheduler,26-07-2025,25-08-2025,,"api,backend,bug",24,,,45,13,14-08-2025,Deploy model to staging Model training and evaluation,deploy model staging model training evaluation,2025-11-11 23:47:31.673910,13,5,2
TASK-0040,Data ingestion from 3rd-party,Performance improvements and profiling,Low,In Progress,Deepak,Payments,06-09-2025,18-09-2025,,"backend,data",24,,,76,12,21-09-2025,Data ingestion from 3rd-party Performance improvements and profiling,data ingestion rd party performance improvement profiling,2025-11-02 23:47:31.673910,4,3,2
TASK-0041,Set up CI/CD pipeline,Data pipeline and ETL,Medium,Todo,Harish,Analytics,03-10-2025,09-11-2025,,"devops,backend,research",24,,,0,6,10-10-2025,Set up CI/CD pipeline Data pipeline and ETL,set ci cd pipeline data pipeline etl,2025-11-11 23:47:31.673910,13,4,3
TASK-0042,Optimize DB queries,Testing and QA tasks,Medium,Done,Deepak,Payments,29-09-2025,01-11-2025,14-10-2025,"ux,devops,performance",8,9.0,,100,11,08-10-2025,Optimize DB queries Testing and QA tasks,optimize db query testing qa task,2025-11-05 23:47:31.673910,7,2,3
TASK-0043,Set up CI/CD pipeline,Testing and QA tasks,Medium,In Progress,Bhanu,ML-Pipeline,04-09-2025,20-09-2025,,"bug,performance",4,,,33,0,20-09-2025,Set up CI/CD pipeline Testing and QA tasks,set ci cd pipeline testing qa task,2025-11-07 23:47:31.673910,9,4,3
TASK-0044,Prototype new UI,Customer-facing improvements,Medium,In Progress,Chitra,Payments,02-09-2025,19-09-2025,,"ux,devops",24,,,48,15,01-10-2025,Prototype new UI Customer-facing improvements,prototype new ui customer facing improvement,2025-11-10 23:47:31.673910,12,4,3
TASK-0045,Create dashboard widgets,Testing and QA tasks,Low,Review,Harish,Scheduler,06-08-2025,19-09-2025,,data,4,,,91,0,27-09-2025,Create dashboard widgets Testing and QA tasks,create dashboard widget testing qa task,2025-10-30 23:47:31.673910,1,5,2
TASK-0046,Build notification service,Data pipeline and ETL,Low,Todo,Deepak,Platform,17-08-2025,12-09-2025,,ux,40,,,0,13,17-08-2025,Build notification service Data pipeline and ETL,build notification service data pipeline etl,2025-11-07 23:47:31.673910,9,8,2
TASK-0047,Design user onboarding flow,DevOps tasks for deployment,High,In Progress,Esha,Onboarding,11-08-2025,10-09-2025,,frontend,4,,,35,8,25-09-2025,Design user onboarding flow DevOps tasks for deployment,design user onboarding flow devops task deployment,2025-11-02 23:47:31.673910,4,1,1
TASK-0048,Set up CI/CD pipeline,Performance improvements and profiling,Low,Done,Harish,Ops,13-09-2025,30-09-2025,22-09-2025,"frontend,backend,ux",24,23.0,,100,5,18-09-2025,Set up CI/CD pipeline Performance improvements and profiling,set ci cd pipeline performance improvement profiling,2025-11-03 23:47:31.673910,5,4,2
TASK-0049,Write API documentation,Performance improvements and profiling,Medium,In Progress,Bhanu,Platform,09-10-2025,26-10-2025,,ux,24,,,14,1,10-10-2025,Write API documentation Performance improvements and profiling,write api documentation performance improvement profiling,2025-11-11 23:47:31.673910,13,6,3
TASK-0050,Optimize image processing,Testing and QA tasks,Low,Todo,Chitra,Dashboard,05-10-2025,27-10-2025,,ux,8,,,0,10,11-10-2025,Optimize image processing Testing and QA tasks,optimize image processing testing qa task,2025-10-30 23:47:31.673910,1,2,2
TASK-0051,Conduct A/B test,Frontend design and interaction,High,Review,Bhanu,Platform,31-08-2025,06-09-2025,,performance,8,,,89,12,20-09-2025,Conduct A/B test Frontend design and interaction,conduct test frontend design interaction,2025-11-11 23:47:31.673910,13,7,1
TASK-0052,Design user onboarding flow,Model training and evaluation,High,In Progress,Deepak,Analytics,05-08-2025,01-09-2025,,"ml,performance",4,,,42,2,15-08-2025,Design user onboarding flow Model training and evaluation,design user onboarding flow model training evaluation,2025-11-05 23:47:31.673910,7,4,1
TASK-0053,Set up CI/CD pipeline,Frontend design and interaction,Medium,Blocked,Chitra,Dashboard,04-09-2025,30-09-2025,,frontend,4,,,17,3,12-09-2025,Set up CI/CD pipeline Frontend design and interaction,set ci cd pipeline frontend design interaction,2025-11-06 23:47:31.673910,8,7,3
TASK-0054,Create task scheduler,Frontend design and interaction,Medium,In Progress,Irfan,Dashboard,01-10-2025,05-10-2025,,bug,40,,TASK-39,46,9,07-10-2025,Create task scheduler Frontend design and interaction,create task scheduler frontend design interaction,2025-11-08 23:47:31.673910,10,5,3
TASK-0055,Evaluate model accuracy,Backend APIs and integration,High,In Progress,Deepak,Ops,09-08-2025,22-08-2025,,"performance,ml,data",16,,,68,5,03-10-2025,Evaluate model accuracy Backend APIs and integration,evaluate model accuracy backend apis integration,2025-11-04 23:47:31.673910,6,3,1
TASK-0056,Set up CI/CD pipeline,Performance improvements and profiling,Low,Blocked,Faisal,Notifications,13-09-2025,26-10-2025,,"ux,devops",24,,TASK-20,21,12,04-10-2025,Set up CI/CD pipeline Performance improvements and profiling,set ci cd pipeline performance improvement profiling,2025-11-01 23:47:31.673910,3,4,2
TASK-0057,Improve logging & monitoring,Testing and QA tasks,Medium,Done,Jaya,Scheduler,06-09-2025,29-09-2025,25-09-2025,"devops,api,bug",8,12.0,,100,15,12-10-2025,Improve logging & monitoring Testing and QA tasks,improve logging monitoring testing qa task,2025-11-09 23:47:31.673910,11,6,3
TASK-0058,Create onboarding emails,Data pipeline and ETL,Medium,In Progress,Gayathri,Analytics,30-09-2025,08-11-2025,,ux,40,,TASK-50,75,6,14-10-2025,Create onboarding emails Data pipeline and ETL,create onboarding email data pipeline etl,2025-11-05 23:47:31.673910,7,4,3
TASK-0059,Create onboarding emails,Model training and evaluation,High,Todo,Gayathri,ML-Pipeline,27-09-2025,09-11-2025,,"devops,research",8,,,0,15,15-10-2025,Create onboarding emails Model training and evaluation,create onboarding email model training evaluation,2025-11-11 23:47:31.673910,13,1,1
TASK-0060,Evaluate model accuracy,DevOps tasks for deployment,Medium,Done,Gayathri,Platform,10-10-2025,05-11-2025,15-10-2025,devops,16,12.0,,100,10,13-10-2025,Evaluate model accuracy DevOps tasks for deployment,evaluate model accuracy devops task deployment,2025-10-31 23:47:31.673910,2,8,3
TASK-0061,Integrate payment gateway,Detailed work on feature as per spec,Low,Todo,Irfan,Platform,01-08-2025,09-09-2025,,api,16,,,0,4,14-09-2025,Integrate payment gateway Detailed work on feature as per spec,integrate payment gateway detailed work feature per spec,2025-11-03 23:47:31.673910,5,3,2
TASK-0062,Design user onboarding flow,Documentation and handover,Low,In Progress,Bhanu,AuthService,26-09-2025,21-10-2025,,"bug,api",8,,,49,14,10-10-2025,Design user onboarding flow Documentation and handover,design user onboarding flow documentation handover,2025-10-30 23:47:31.673910,1,1,2
TASK-0063,Train intent classifier,Backend APIs and integration,Medium,Done,Bhanu,Onboarding,01-09-2025,15-10-2025,07-09-2025,"ml,devops,ux",40,30.0,,100,5,12-09-2025,Train intent classifier Backend APIs and integration,train intent classifier backend apis integration,2025-11-03 23:47:31.673910,5,6,3
TASK-0064,Investigate latency issue,Performance improvements and profiling,Medium,Review,Deepak,ML-Pipeline,31-07-2025,30-08-2025,,"backend,devops",8,,,88,5,15-09-2025,Investigate latency issue Performance improvements and profiling,investigate latency issue performance improvement profiling,2025-10-31 23:47:31.673910,2,1,3
TASK-0065,Train intent classifier,Data pipeline and ETL,Medium,In Progress,Harish,Platform,25-07-2025,17-08-2025,,"performance,ux,frontend",16,,,63,9,11-10-2025,Train intent classifier Data pipeline and ETL,train intent classifier data pipeline etl,2025-10-31 23:47:31.673910,2,8,3
TASK-0066,Refactor legacy code,Backend APIs and integration,Medium,In Progress,Deepak,Notifications,30-09-2025,14-10-2025,,"ml,data",24,,,22,13,05-10-2025,Refactor legacy code Backend APIs and integration,refactor legacy code backend apis integration,2025-11-10 23:47:31.673910,12,4,3
TASK-0067,Write API documentation,DevOps tasks for deployment,Medium,Review,Chitra,Platform,23-09-2025,27-10-2025,,"ml,ux",16,,,81,15,27-09-2025,Write API documentation DevOps tasks for deployment,write api documentation devops task deployment,2025-11-05 23:47:31.673910,7,2,3
TASK-0068,Optimize DB queries,Performance improvements and profiling,Critical,In Progress,Harish,Dashboard,19-07-2025,22-08-2025,,"api,ux",8,,TASK-4,33,8,16-08-2025,Optimize DB queries Performance improvements and profiling,optimize db query performance improvement profiling,2025-11-05 23:47:31.673910,7,6,0
TASK-0069,Prototype new UI,Model training and evaluation,Low,In Progress,Harish,Platform,10-08-2025,20-08-2025,,"frontend,research,bug",40,,,10,6,03-10-2025,Prototype new UI Model training and evaluation,prototype new ui model training evaluation,2025-11-06 23:47:31.673910,8,2,2
TASK-0070,Integrate payment gateway,Data pipeline and ETL,Low,Done,Harish,Notifications,31-08-2025,08-09-2025,07-09-2025,devops,8,11.0,,100,13,10-09-2025,Integrate payment gateway Data pipeline and ETL,integrate payment gateway data pipeline etl,2025-11-04 23:47:31.673910,6,8,2
TASK-0071,Fix production bug - payment,Frontend design and interaction,High,Done,Aisha,Ops,31-08-2025,07-10-2025,17-09-2025,"data,ml,bug",16,14.0,,100,4,26-09-2025,Fix production bug - payment Frontend design and interaction,fix production bug payment frontend design interaction,2025-11-10 23:47:31.673910,12,2,1
TASK-0072,Optimize image processing,Detailed work on feature as per spec,Critical,Done,Chitra,Scheduler,13-09-2025,25-09-2025,23-09-2025,performance,24,17.0,,100,2,18-09-2025,Optimize image processing Detailed work on feature as per spec,optimize image processing detailed work feature per spec,2025-11-11 23:47:31.673910,13,7,0
TASK-0073,Evaluate model accuracy,DevOps tasks for deployment,High,Review,Faisal,ML-Pipeline,13-08-2025,05-09-2025,,"backend,frontend,api",16,,,82,13,09-09-2025,Evaluate model accuracy DevOps tasks for deployment,evaluate model accuracy devops task deployment,2025-11-07 23:47:31.673910,9,8,1
TASK-0074,Write API documentation,Model training and evaluation,Medium,In Progress,Irfan,Ops,28-09-2025,06-11-2025,,"bug,backend",4,,TASK-59,7,14,12-10-2025,Write API documentation Model training and evaluation,write api documentation model training evaluation,2025-11-09 23:47:31.673910,11,2,3
TASK-0075,Design user onboarding flow,Performance improvements and profiling,Low,Review,Chitra,Notifications,24-09-2025,14-10-2025,,bug,16,,TASK-22,82,9,01-10-2025,Design user onboarding flow Performance improvements and profiling,design user onboarding flow performance improvement profiling,2025-11-09 23:47:31.673910,11,3,2
TASK-0076,Deploy model to staging,Backend APIs and integration,High,Todo,Harish,AuthService,28-09-2025,07-11-2025,,data,24,,TASK-44,0,15,30-09-2025,Deploy model to staging Backend APIs and integration,deploy model staging backend apis integration,2025-11-06 23:47:31.673910,8,5,1
TASK-0077,Write unit tests for scheduler,Performance improvements and profiling,Low,Done,Bhanu,Analytics,28-08-2025,19-09-2025,01-09-2025,"ml,ux",4,4.0,TASK-22,100,4,23-09-2025,Write unit tests for scheduler Performance improvements and profiling,write unit test scheduler performance improvement profiling,2025-11-04 23:47:31.673910,6,7,2
TASK-0078,Fix production bug - payment,Documentation and handover,High,Todo,Bhanu,Scheduler,29-09-2025,08-11-2025,,"performance,bug,ux",16,,,0,7,08-10-2025,Fix production bug - payment Documentation and handover,fix production bug payment documentation handover,2025-11-04 23:47:31.673910,6,5,1
TASK-0079,Conduct A/B test,Detailed work on feature as per spec,High,Review,Esha,Payments,09-08-2025,19-09-2025,,"devops,performance,research",4,,,85,3,08-09-2025,Conduct A/B test Detailed work on feature as per spec,conduct test detailed work feature per spec,2025-11-04 23:47:31.673910,6,4,1
TASK-0080,Write API documentation,Customer-facing improvements,Low,Done,Aisha,Analytics,04-09-2025,15-09-2025,16-09-2025,"performance,bug,ml",24,37.0,,100,0,20-09-2025,Write API documentation Customer-facing improvements,write api documentation customer facing improvement,2025-11-04 23:47:31.673910,6,2,2
TASK-0081,Optimize DB queries,Detailed work on feature as per spec,Critical,Done,Gayathri,Platform,08-09-2025,21-10-2025,23-10-2025,"performance,ux,data",4,4.0,,100,9,13-09-2025,Optimize DB queries Detailed work on feature as per spec,optimize db query detailed work feature per spec,2025-11-02 23:47:31.673910,4,3,0
TASK-0082,User research interviews,Data pipeline and ETL,Critical,Todo,Faisal,Dashboard,31-07-2025,12-09-2025,,"frontend,research,performance",8,,TASK-12,0,1,08-09-2025,User research interviews Data pipeline and ETL,user research interview data pipeline etl,2025-11-11 23:47:31.673910,13,8,0
TASK-0083,Add feature flags,Frontend design and interaction,Low,Review,Aisha,Scheduler,12-08-2025,06-09-2025,,"data,research,ml",16,,TASK-35,94,10,05-10-2025,Add feature flags Frontend design and interaction,add feature flag frontend design interaction,2025-11-02 23:47:31.673910,4,3,2
TASK-0084,Set up CI/CD pipeline,DevOps tasks for deployment,Low,Review,Jaya,AuthService,12-08-2025,13-09-2025,,"bug,backend,api",40,,TASK-21,94,3,10-09-2025,Set up CI/CD pipeline DevOps tasks for deployment,set ci cd pipeline devops task deployment,2025-11-04 23:47:31.673910,6,1,2
TASK-0085,Implement caching layer,DevOps tasks for deployment,Low,Done,Aisha,Payments,09-10-2025,11-11-2025,01-11-2025,"ml,ux",4,4.0,,100,7,12-10-2025,Implement caching layer DevOps tasks for deployment,implement caching layer devops task deployment,2025-11-11 23:47:31.673910,13,8,2
TASK-0086,Optimize image processing,Testing and QA tasks,Low,Todo,Faisal,AuthService,11-08-2025,17-08-2025,,devops,40,,,0,9,19-09-2025,Optimize image processing Testing and QA tasks,optimize image processing testing qa task,2025-10-31 23:47:31.673910,2,5,2
TASK-0087,Train intent classifier,Backend APIs and integration,Medium,Todo,Deepak,Notifications,03-08-2025,25-08-2025,,"ux,devops,api",16,,,0,7,22-08-2025,Train intent classifier Backend APIs and integration,train intent classifier backend apis integration,2025-11-10 23:47:31.673910,12,7,3
TASK-0088,Design user onboarding flow,Performance improvements and profiling,Low,In Progress,Aisha,Analytics,14-10-2025,28-11-2025,,"research,frontend",8,,,35,1,14-10-2025,Design user onboarding flow Performance improvements and profiling,design user onboarding flow performance improvement profiling,2025-11-11 23:47:31.673910,13,8,2
TASK-0089,Migrate DB schema,Model training and evaluation,Low,Done,Irfan,Dashboard,17-07-2025,12-08-2025,15-08-2025,"frontend,ux,ml",24,16.0,,100,7,23-08-2025,Migrate DB schema Model training and evaluation,migrate db schema model training evaluation,2025-11-11 23:47:31.673910,13,8,2
TASK-0090,Set up CI/CD pipeline,Testing and QA tasks,Critical,In Progress,Faisal,Analytics,18-08-2025,07-09-2025,,frontend,8,,TASK-75,18,5,15-09-2025,Set up CI/CD pipeline Testing and QA tasks,set ci cd pipeline testing qa task,2025-11-02 23:47:31.673910,4,1,0
TASK-0091,Improve logging & monitoring,Testing and QA tasks,Medium,In Progress,Deepak,ML-Pipeline,05-09-2025,07-10-2025,,"frontend,ux",8,,,43,1,18-09-2025,Improve logging & monitoring Testing and QA tasks,improve logging monitoring testing qa task,2025-11-03 23:47:31.673910,5,4,3
TASK-0092,Setup feature rollout,Testing and QA tasks,Low,Review,Faisal,Dashboard,10-08-2025,16-08-2025,,"research,ux,ml",4,,,87,7,22-08-2025,Setup feature rollout Testing and QA tasks,setup feature rollout testing qa task,2025-10-31 23:47:31.673910,2,8,2
TASK-0093,Improve logging & monitoring,Backend APIs and integration,High,Todo,Aisha,Onboarding,16-09-2025,27-09-2025,,performance,16,,,0,8,15-10-2025,Improve logging & monitoring Backend APIs and integration,improve logging monitoring backend apis integration,2025-11-05 23:47:31.673910,7,3,1
TASK-0094,Setup feature rollout,Backend APIs and integration,Low,Todo,Harish,Scheduler,03-10-2025,27-10-2025,,backend,24,,TASK-74,0,15,03-10-2025,Setup feature rollout Backend APIs and integration,setup feature rollout backend apis integration,2025-11-03 23:47:31.673910,5,4,2
TASK-0095,Evaluate model accuracy,Performance improvements and profiling,Low,Todo,Chitra,Notifications,09-09-2025,10-10-2025,,backend,40,,,0,15,05-10-2025,Evaluate model accuracy Performance improvements and profiling,evaluate model accuracy performance improvement profiling,2025-10-31 23:47:31.673910,2,7,2
TASK-0096,Implement role based access,DevOps tasks for deployment,Medium,Todo,Gayathri,Scheduler,22-08-2025,06-09-2025,,"data,devops,backend",24,,,0,15,13-09-2025,Implement role based access DevOps tasks for deployment,implement role based access devops task deployment,2025-10-30 23:47:31.673910,1,7,3
TASK-0097,Optimize image processing,Customer-facing improvements,Medium,In Progress,Chitra,Onboarding,04-09-2025,15-10-2025,,backend,16,,TASK-61,72,7,14-09-2025,Optimize image processing Customer-facing improvements,optimize image processing customer facing improvement,2025-11-06 23:47:31.673910,8,3,3
TASK-0098,Integrate payment gateway,Data pipeline and ETL,Medium,In Progress,Aisha,Payments,02-08-2025,29-08-2025,,"ml,ux",8,,,50,11,13-10-2025,Integrate payment gateway Data pipeline and ETL,integrate payment gateway data pipeline etl,2025-10-29 23:47:31.673910,0,2,3
TASK-0099,Refactor legacy code,Frontend design and interaction,Medium,Todo,Harish,Platform,05-09-2025,19-09-2025,,"backend,frontend",4,,,0,15,05-09-2025,Refactor legacy code Frontend design and interaction,refactor legacy code frontend design interaction,2025-11-05 23:47:31.673910,7,8,3
TASK-0100,Train intent classifier,Customer-facing improvements,Low,Todo,Chitra,Analytics,07-10-2025,11-10-2025,,ux,8,,,0,11,13-10-2025,Train intent classifier Customer-facing improvements,train intent classifier customer facing improvement,2025-11-05 23:47:31.673910,7,2,2
